seq_ID,index,MACS_ct,FACS1_ct,FACS2_ct,MACS_hasread,FACS1_hasread,FACS2_hasread,MACS_normct,MACS_logct,FACS1_normct,FACS1_logct,FACS2_normct,FACS2_logct,FACS1_MACS_logratio,FACS2_MACS_logratio,FACS2_FACS1_logratio,FACS1_MACS_enriched,FACS1_MACS_split,FACS2_MACS_enriched,FACS2_MACS_split,FACS2_FACS1_enriched,FACS2_FACS1_split
V2/fil5_filabund1_0,0,61440,9092,7474,True,True,True,66627.55478825906,4.823653875080347,16394.240738570283,4.214691308124337,17367.582062638554,4.239739359613005,-0.6089625669560101,-0.5839145154673417,0.0250480514886684,0.0,test,0.0,train,1.0,train
V2/fil5_filabund1_1,1,4177,525,403,True,True,True,4529.676047372365,3.656067143322012,946.6538041959303,2.97619118447736,936.464486385247,2.971491312240496,-0.6798759588446521,-0.6845758310815162,-0.004699872236864078,0.0,train,0.0,train,0.0,train
V2/fil5_filabund1_2,2,2533,378,283,True,True,True,2746.8684290146516,3.4388378578474392,681.5907390210698,2.8335236809086286,657.6165003648262,2.817972701623677,-0.6053141769388106,-0.6208651562237621,-0.015550979284951527,0.0,train,0.0,train,0.0,train
V2/fil5_filabund1_3,3,2004,265,239,True,True,True,2173.203447195169,3.3371003852520995,477.834777356041,2.679277755008211,555.3722388240051,2.7445841670475244,-0.6578226302438885,-0.5925162182045751,0.06530641203931342,0.0,test,0.0,train,1.0,train
V2/fil5_filabund1_4,4,1122,47,57,True,True,True,1216.7336665434027,3.085195524977034,84.74805485182614,1.9281297390071208,132.45279335969997,2.1220611217718783,-1.1570657859699132,-0.9631344032051556,0.19393138276475752,0.0,train,0.0,train,1.0,train
V2/fil5_filabund1_5,5,1107,83,78,True,True,True,1200.4671736751754,3.079350288935614,149.6614585681185,2.1751099734474773,181.25119091327363,2.2582808687898672,-0.9042403154881367,-0.8210694201457467,0.08317089534238997,0.0,train,0.0,train,1.0,train
V2/fil5_filabund1_6,6,859,102,92,True,True,True,931.5278249204839,2.9691958318881335,183.92131052949503,2.2646320528333206,213.7834559489894,2.329974093444942,-0.7045637790548129,-0.6392217384431915,0.06534204061162141,0.0,train,0.0,train,1.0,train
V2/fil5_filabund1_7,7,838,140,75,True,True,True,908.7547349049657,2.958446686687168,252.44101445224808,2.4021599167496412,174.2799912627631,2.241247529491087,-0.5562867699375267,-0.717199157196081,-0.16091238725855428,0.0,train,0.0,train,0.0,train
V2/fil5_filabund1_8,8,821,121,83,True,True,True,890.3193763209748,2.9495458251763322,218.18116249087154,2.3388172513878533,192.86985699745784,2.2852643584754606,-0.6107285737884789,-0.6642814667008716,-0.053552892912392736,0.0,test,0.0,test,0.0,test
V2/fil5_filabund1_9,9,819,75,82,True,True,True,888.1505106052111,2.9484865698173097,135.23625774227577,2.131093144463103,190.546123780621,2.2800001184831036,-0.8173934253542066,-0.6684864513342061,0.14890697402000042,0.0,train,0.0,train,1.0,train
V2/fil5_filabund1_10,10,817,136,88,True,True,True,885.9816448894475,2.9474247245893066,245.2284140393267,2.389570789441621,204.48852308164203,2.3106689382495555,-0.5578539351476857,-0.636755786339751,-0.07890185119206539,0.0,train,0.0,train,0.0,train
V2/fil5_filabund1_11,11,814,38,36,True,True,True,882.728346315802,2.9458270729460927,68.51970392275305,1.8358154776882134,83.65439580612629,1.9224887668666741,-1.1100115952578793,-1.0233383060794186,0.08667328917846073,0.0,train,0.0,train,1.0,train
V2/fil5_filabund1_12,12,724,1416,259,True,True,True,785.1293891064382,2.894941234254038,2553.2605461741664,3.4070951344251537,601.8469031607419,2.779486030180639,0.5121539001711155,-0.11545520407339938,-0.6276091042445149,1.0,train,0.0,train,0.0,train
V2/fil5_filabund1_13,13,701,90,98,True,True,True,760.1874333751563,2.88092068602355,162.2835092907309,2.2102743905107283,227.72585525001045,2.3574123417918815,-0.6706462955128218,-0.5235083442316686,0.14713795128115326,0.0,train,0.0,train,1.0,train
V2/fil5_filabund1_14,14,700,168,83,True,True,True,759.1030005172745,2.880300708071148,302.9292173426977,2.4813411627972664,192.86985699745784,2.2852643584754606,-0.39895954527388167,-0.5950363495956874,-0.19607680432180574,0.0,test,0.0,test,0.0,test
V2/fil5_filabund1_15,15,646,164,286,True,True,True,700.5436261916561,2.8454351860519753,295.7166169297763,2.470875729119101,664.5877000153366,2.8225522992284295,-0.3745594569328743,-0.02288288682354578,0.3516765701093285,0.0,train,0.0,test,1.0,test
V2/fil5_filabund1_16,16,641,16,54,True,True,True,695.121461902247,2.842060697575709,28.850401651685495,1.460151863727328,125.48159370918944,2.098580025922355,-1.3819088338483807,-0.7434806716533537,0.638428162195027,0.0,train,0.0,train,1.0,train
V2/fil5_filabund1_17,17,628,332,57,True,True,True,681.0238347497834,2.8331623117940876,598.645834272474,2.7771699647754393,132.45279335969997,2.1220611217718783,-0.0559923470186483,-0.7111011900222093,-0.655108843003561,0.0,train,0.0,train,0.0,train
V2/fil5_filabund1_18,18,625,150,137,True,True,True,677.770536176138,2.8310826854009665,270.47251548455154,2.4321231401270844,318.35145070664726,2.5029068332557936,-0.3989595452738821,-0.328175852145173,0.07078369312870914,0.0,train,0.0,train,1.0,train
V2/fil5_filabund1_19,19,607,88,58,True,True,True,658.2507447342651,2.818391359132149,158.67720908427023,2.2005145532215717,134.7765265765368,2.129614259662324,-0.6178768059105773,-0.6887770994698248,-0.07090029355924754,0.0,test,0.0,test,0.0,test
V2/fil5_filabund1_20,20,600,165,110,True,True,True,650.6597147290925,2.813353918440535,297.51976703300664,2.4735158252853093,255.61065385205256,2.407578951257612,-0.3398380931552256,-0.40577496718292316,-0.06593687402769755,0.0,train,0.0,train,0.0,train
V2/fil5_filabund1_21,21,592,84,74,True,True,True,641.9842518660379,2.807524374779811,151.46460867134886,2.180311167133285,171.95625804592626,2.235417985830363,-0.627213207646526,-0.572106388949448,0.05510681869707801,0.0,train,0.0,train,1.0,train
